algorithm,problem,seed,best_f,feasible,max_violation,evals,walltime_s,x_0,x_1,x_2,x_3,notes
idc_default,photo_wf3,0,0.0325490832,True,0,40000,0.0895244,0.183372736,0.564988434,0.251637876,8.87856345e-07,
idc_default,photo_wf3,1,0.0325492173,True,0,40000,0.0781607,0.183683902,0.56475836,0.251556039,1.76712717e-06,
idc_default,photo_wf3,2,0.0325500816,True,0,40000,0.0868141,0.183671162,0.565342367,0.250985384,1.17970706e-06,
idc_default,photo_wf3,3,0.0325796008,True,0,40000,0.0763931,0.183417425,0.565130591,0.251334876,0.000117076401,
idc_default,photo_wf3,4,0.0477351248,True,0,40000,0.1000763,0.0830833316,0.131597638,0.125044957,0.660274029,
idc_default,photo_wf3,5,0.0325543135,True,0,40000,0.121564,0.184024245,0.564326286,0.251636297,1.32571704e-05,
idc_default,photo_wf3,6,0.032562986,True,0,40000,0.0749117,0.183103085,0.565317392,0.251530081,4.94722408e-05,
idc_default,photo_wf3,7,0.0325500369,True,0,40000,0.074778,0.183860183,0.564767957,0.251369625,2.18067885e-06,
idc_default,photo_wf3,8,0.0325526446,True,0,40000,0.0779708,0.183546349,0.565088987,0.251349509,1.51947688e-05,
idc_default,photo_wf3,9,0.0325516611,True,0,40000,0.0781318,0.183729395,0.564832211,0.251427829,1.05529625e-05,
idc_default,photo_wf3,10,0.0325558484,True,0,40000,0.0730922,0.183581501,0.564791679,0.251599699,2.71666013e-05,
idc_default,photo_wf3,11,0.0325529575,True,0,40000,0.0729584,0.183743536,0.565119565,0.251123279,1.36629142e-05,
idc_default,photo_wf3,12,0.0325507522,True,0,40000,0.0781567,0.183401123,0.564709485,0.251885533,3.86995316e-06,
idc_default,photo_wf3,13,0.0325638205,True,0,40000,0.0738661,0.18372561,0.564984381,0.251234084,5.59240216e-05,
idc_default,photo_wf3,14,0.0325491577,True,0,40000,0.0722109,0.18334648,0.565134585,0.251517773,1.23104746e-06,
idc_default,photo_wf3,15,0.0325692296,True,0,40000,0.0688585,0.183595091,0.564314425,0.252019525,7.0971626e-05,
idc_default,photo_wf3,16,0.03255032,True,0,40000,0.062545,0.183390945,0.565268636,0.25133425,6.13770771e-06,
idc_default,photo_wf3,17,0.0325496048,True,0,40000,0.0648712,0.183597907,0.56508553,0.251312882,3.62017022e-06,
idc_default,photo_wf3,18,0.0325539559,True,0,40000,0.0600909,0.183435172,0.564532161,0.252019227,1.34988213e-05,
idc_default,photo_wf3,19,0.0477348715,True,0,40000,0.0725751,0.0831809416,0.131800637,0.124987029,0.660031378,
idc_default,photo_wf3,20,0.0325498283,True,0,40000,0.0604992,0.183342904,0.565585196,0.251071066,8.35903052e-07,
