algorithm,problem,seed,best_f,feasible,max_violation,evals,walltime_s,x_0,x_1,x_2,x_3,notes
idc_default,photo_wf3,0,0.051914677,True,0,40000,0.0573395,0.0829366148,0.183146968,0.116480872,0.617435515,
idc_default,photo_wf3,1,0.0519138277,True,0,40000,0.0717103,0.0590950102,0.144457772,0.129685208,0.666761994,
idc_default,photo_wf3,2,0.0519149899,True,0,40000,0.0732602,0.0775718018,0.0940874442,0.82414782,0.004192892,
idc_default,photo_wf3,3,0.0519145429,True,0,40000,0.0584525,0.0488878228,0.147455156,0.107903354,0.695753634,
idc_default,photo_wf3,4,0.0519145429,True,0,40000,0.0529927,0.0825826898,0.151136011,0.123508558,0.642772734,
idc_default,photo_wf3,5,0.0519144982,True,0,40000,0.0713904,0.0843643919,0.15331845,0.120441325,0.641875803,
idc_default,photo_wf3,6,0.0519145429,True,0,40000,0.0708384,0.15857631,0.727778912,0.106223568,0.00742122624,
idc_default,photo_wf3,7,0.0519125909,True,0,40000,0.0728299,0.0631680414,0.203206494,0.108196244,0.625429213,
idc_default,photo_wf3,8,0.0519144386,True,0,40000,0.0772287,0.0832906291,0.180888176,0.125273392,0.610547781,
idc_default,photo_wf3,9,0.0519148856,True,0,40000,0.0470582,0.159914941,0.728731394,0.104481265,0.00687236758,
idc_default,photo_wf3,10,0.0519142151,True,0,40000,0.0727142,0.0534018874,0.212680638,0.135729954,0.598187566,
idc_default,photo_wf3,11,0.0519145727,True,0,40000,0.0713392,0.069372803,0.171792939,0.137365207,0.62146908,
idc_default,photo_wf3,12,0.0519145727,True,0,40000,0.0704269,0.0692651868,0.211691752,0.114828333,0.604214728,
idc_default,photo_wf3,13,0.0519139022,True,0,40000,0.0549965,0.0774686858,0.142699555,0.103022791,0.676808953,
idc_default,photo_wf3,14,0.0519143939,True,0,40000,0.0667606,0.0428282507,0.175842062,0.117190175,0.664139509,
idc_default,photo_wf3,15,0.0519148558,True,0,40000,0.0640855,0.0832678676,0.177786723,0.126153558,0.612791836,
idc_default,photo_wf3,16,0.0519152731,True,0,40000,0.0375508,0.0600203201,0.0853707343,0.844970465,0.00963853206,
idc_default,photo_wf3,17,0.0519146025,True,0,40000,0.0629639,0.0496695489,0.149127036,0.125366524,0.675836921,
idc_default,photo_wf3,18,0.0519142896,True,0,40000,0.0715061,0.0700928718,0.131886438,0.122791901,0.675228775,
idc_default,photo_wf3,19,0.0519138724,True,0,40000,0.0632101,0.0693121403,0.146657288,0.0983799174,0.685650706,
idc_default,photo_wf3,20,0.0519162565,True,0,40000,0.0247306,0.0674149469,0.193932712,0.1055893,0.633063018,
