measured,predicted
0.189174652,0.195634559
0.681274951,0.532971144
0.0221799165,0.0331265181
0.180513591,0.201962456
0.201371863,0.193993047
0.186305434,0.177194208
0.202152357,0.16015853
0.214893773,0.148087218
0.164923996,0.137920871
0.204681531,0.119355679
0.234453693,0.0970585942
0.211072862,0.199153289
0.109765336,0.176758379
0.0905329809,0.127691656
0.0714240596,0.0857782811
0.0673113391,0.0673303604
0.0615726523,0.103569932
0.0519145802,0.120311819
0.0455229171,0.103814073
0.0257471539,0.0677178949
0.00444695586,0.0315434188
0.0517934635,0.068173036
0.100056209,0.107641369
0.117489457,0.139479548
0.131137148,0.164972082
0.134851024,0.183371723
0.169243917,0.189900726
0.166202351,0.180015981
0.184431046,0.162481636
0.197477952,0.166027814
0.531850576,0.491830051
0.527140617,0.457131833
0.582174182,0.461196452
0.597646415,0.433653116
0.464694411,0.37130037
0.436980158,0.301565021
0.255987018,0.240174755
0.222102597,0.188427702
0.0495937392,0.144513279
0.586830795,0.515532076
0.502601385,0.431289196
0.441349059,0.329748571
0.330387831,0.284754932
0.354903132,0.265343964
0.216416046,0.223695621
0.151506692,0.162977248
0.145020649,0.10443709
0.0860072896,0.060372442
0.0869329795,0.139054328
0.115618795,0.204755157
0.27521503,0.293983042
0.326024711,0.396701217
0.743070185,0.511766732
0.689382732,0.536260366
0.633211553,0.286841691
0.0257787481,0.103951
0.0105342939,0.0372390151
0.101963893,0.161735773
0.115779385,0.142582342
0.102299988,0.127322555
0.0923729166,0.119239792
0.0882388428,0.11379829
0.0842346773,0.0999923646
0.119335003,0.0784365833
0.123879701,0.15588747
0.0805376694,0.104178905
0.102254838,0.0898421779
0.0745343566,0.0859808698
0.0739437267,0.0866604745
0.0655810013,0.0801755264
0.0883247256,0.063568756
0.119969465,0.123960145
0.0754232779,0.0738033056
0.0709811002,0.0747374371
0.0656835735,0.0824873224
0.0617265739,0.085660331
0.0639296547,0.078824982
0.116545871,0.131837264
0.0678835958,0.0703204274
0.078908287,0.0800811201
0.0597450957,0.0860711262
0.0698972046,0.081639789
0.110226035,0.122683987
0.0697722211,0.106895708
0.0633865967,0.104403108
0.0653959662,0.0885737166
0.0952545479,0.103722408
0.0724118948,0.109789938
0.0708912164,0.084590286
0.0860839859,0.0788501427
0.0664765015,0.0754741505
0.10608121,0.0574167222
0.0638643503,0.0421251506
0.0809064806,0.0944950804
0.121145763,0.1418688
0.121559463,0.179119423
0.144566208,0.203991458
0.151321337,0.214009345
0.143101186,0.20651564
0.17749095,0.190465599
0.18967782,0.189940214
0.109130137,0.129279628
0.142771423,0.179198906
0.368146449,0.214620233
0.354628384,0.229157388
0.327280194,0.223053753
0.168417275,0.207111254
0.167858377,0.200461656
0.100755468,0.163005307
0.126071751,0.204035863
0.128540799,0.226363569
0.152030364,0.22360462
0.158939242,0.209187001
0.179298446,0.197938189
0.140372261,0.17607452
0.230800927,0.194342956
0.182442293,0.200649709
0.219203129,0.195801601
0.185681626,0.187264338
0.144657537,0.15172489
0.145483077,0.151050985
0.158346832,0.167271435
0.180920273,0.173209086
0.182817563,0.119274452
0.185141712,0.127692223
0.205970109,0.153227657
0.237598881,0.14076747
0.212211221,0.127683163
0.250403225,0.18503499
0.21851629,0.0885063037
0.239941135,0.179582968
0.345865011,0.298094153
0.456697911,0.432456672
0.564118564,0.519619584
0.184851229,0.333101451
0.0602238439,0.113122366
0.0464715585,0.0587450564
0.188072383,0.131482512
0.243427873,0.232595921
0.345906258,0.364108086
0.454378277,0.479037881
0.563346744,0.401332021
0.264662296,0.142814606
0.0765965432,0.0890061483
0.230852112,0.169645086
0.224388212,0.27314651
0.334962159,0.391579509
0.346114069,0.413826704
0.0584442765,0.182440087
0.0582790114,0.111204006
0.279055536,0.178874552
0.246743232,0.272758663
0.324943393,0.358479679
0.112504534,0.236066878
0.0594156086,0.126916543
0.199084193,0.155480355
0.244192541,0.261757374
0.320617348,0.267488718
0.106388792,0.141131803
0.112910718,0.16075255
0.23814632,0.241080239
0.108000048,0.162811562
0.155762851,0.181364328
0.0749404132,0.190353304
0.164465189,0.196168333
0.486418039,0.48228845
0.374902338,0.425594211
0.523999691,0.412865281
0.447257042,0.392071813
0.40992552,0.342023879
0.309183002,0.281859577
0.20092392,0.226519883
0.121615194,0.179087117
0.30283314,0.433595598
0.557951987,0.376475185
0.320801914,0.370930791
0.439397544,0.374342263
0.343646616,0.341812134
0.266358912,0.293430775
0.188171417,0.246330053
0.249865681,0.329678625
0.331487596,0.314062268
0.384021938,0.347047657
0.364412338,0.382785082
0.319162607,0.367740571
0.28153801,0.331612647
0.268048197,0.214182764
0.299123138,0.242699713
0.437062502,0.353395343
0.396774471,0.425545156
0.387484282,0.424032629
0.158414617,0.151842922
0.112271957,0.167281762
0.449561357,0.365871966
0.473045051,0.495689511
0.0988670513,0.113935731
0.0786669478,0.121341169
0.564932227,0.331166804
0.128055796,0.0784667507
0.0591357984,0.105501048
0.0447854027,0.0515253395
0.0695419312,0.0568845868
0.0630459711,0.0445798188
0.0538641959,0.0948746577
0.105352469,0.161243111
0.0584254377,0.097715959
0.0908108428,0.0906192139
0.0722087175,0.0863383412
0.0855706558,0.0807946548
0.0634010062,0.0809035748
0.107095271,0.0989764556
0.0927464142,0.0989764556
0.109594472,0.0878600031
0.107075393,0.140421867
0.0961084291,0.088341713
0.175189465,0.21718061
0.0838106647,0.110349476
0.0883607045,0.309576452
0.0696398392,0.115693755
0.0917439535,0.0974037945
0.0831570923,0.0885623097
0.0959709883,0.0869220048
0.098534964,0.0977946222
0.0930255428,0.0886101574
0.0923175663,0.0823077485
0.113187507,0.0845068693
0.09061829,0.0861935392
0.12988548,0.16196692
0.1094281,0.07900583
0.0832064524,0.0884276852
0.0926760212,0.0832809359
0.102766819,0.0826682523
0.0923452675,0.0887146071
0.174027115,0.222016945
0.0908241495,0.082406126
0.09896034,0.0881307647
0.0798619315,0.0842597261
0.101427451,0.0902859867
0.131665513,0.0999560058
0.116864488,0.0919653699
0.189723626,0.102089643
0.137573019,0.308265448
0.112939715,0.0964034423
0.0918163061,0.0834108591
0.0996973515,0.0792507082
0.136210546,0.123114698
0.142779171,0.131664798
0.28788957,0.404504418
0.102514893,0.104111016
0.154936761,0.152390614
0.103578016,0.10639669
0.139424264,0.131874651
0.234133244,0.180013314
0.123763464,0.112083018
0.159459412,0.154428691
0.256730467,0.192649707
0.191461548,0.137701988
0.181455746,0.105638497
0.0768108591,0.0623494536
0.0888015926,0.0809196755
0.0965674073,0.063689962
0.0834290534,0.0953545943
0.129660025,0.16918768
0.100391075,0.0841102749
0.110401377,0.133097917
0.112230644,0.12314304
0.0961222276,0.0960464701
0.0929289162,0.108727016
0.106473267,0.130258292
0.10344848,0.12468762
0.105501063,0.118723109
0.100765698,0.119342707
0.099587366,0.112950653
0.122714765,0.102782324
0.110156879,0.124982499
0.117353879,0.0944692641
0.0878790319,0.0978017524
0.0876564458,0.096602276
0.0816427618,0.0948615074
0.109036237,0.0924651176
0.0825216845,0.0979150757
0.113469578,0.0924651176
0.115921922,0.103907436
0.0840039998,0.0865645036
0.0969472304,0.0911616609
0.101252533,0.0961740464
0.311937124,0.363697946
0.0921314657,0.0759498328
0.0846862644,0.0786814839
0.101459704,0.122731179
0.122474857,0.115762323
0.104845621,0.104446381
0.129297882,0.133234531
0.129455909,0.137063712
0.128163531,0.141043693
0.127466097,0.120188445
0.143806651,0.334784031
0.186796963,0.182411894
0.158341259,0.169032693
0.142567605,0.169089347
0.120734274,0.104521029
