algorithm,problem,seed,best_f,feasible,max_violation,evals,walltime_s,x_0,x_1,x_2,x_3,notes
idc_default,photo_wf3,0,0.050059557,True,0,40000,0.0743475,0.306585431,0.472486705,0.220926642,1.20314348e-06,
idc_default,photo_wf3,1,0.0500591248,True,0,40000,0.0732614,0.306841403,0.472013146,0.221145049,4.14879736e-07,
idc_default,photo_wf3,2,0.047005102,True,0,40000,0.0747126,0.03944204,3.41419124e-08,1.52875415e-07,0.960557759,
idc_default,photo_wf3,3,0.0500601232,True,0,40000,0.0737283,0.307047606,0.471783608,0.22116603,2.76497826e-06,
idc_default,photo_wf3,4,0.0500596017,True,0,40000,0.0778353,0.306567252,0.472335488,0.221095979,1.31929278e-06,
idc_default,photo_wf3,5,0.0500589609,True,0,40000,0.0750545,0.307077855,0.471961856,0.220959947,3.97793514e-07,
idc_default,photo_wf3,6,0.050059393,True,0,40000,0.0737583,0.306996852,0.471843004,0.221159101,1.04684614e-06,
idc_default,photo_wf3,7,0.0500606298,True,0,40000,0.0730413,0.306915283,0.472290099,0.22078976,4.83873646e-06,
idc_default,photo_wf3,8,0.0500598848,True,0,40000,0.0714725,0.307018548,0.47184971,0.221129388,2.281364e-06,
idc_default,photo_wf3,9,0.0500594527,True,0,40000,0.0728829,0.306810349,0.47235924,0.220828772,1.6323786e-06,
idc_default,photo_wf3,10,0.0500593483,True,0,40000,0.0719386,0.306864887,0.472466618,0.220667452,9.74168756e-07,
idc_default,photo_wf3,11,0.0500630587,True,0,40000,0.0713178,0.307225883,0.471988916,0.220774353,1.09173379e-05,
idc_default,photo_wf3,12,0.0500593632,True,0,40000,0.0721499,0.30658263,0.472385049,0.221031666,7.2873263e-07,
idc_default,photo_wf3,13,0.0500592291,True,0,40000,0.067911,0.307159036,0.472135991,0.220704213,7.3021954e-07,
idc_default,photo_wf3,14,0.0500600189,True,0,40000,0.0624687,0.306913197,0.471982211,0.221101627,2.97994188e-06,
idc_default,photo_wf3,15,0.0470057428,True,0,40000,0.048184,0.0398995839,1.60223669e-06,7.25342488e-07,0.960098088,
idc_default,photo_wf3,16,0.0500624776,True,0,40000,0.0637673,0.30712387,0.472474903,0.220393479,7.66567518e-06,
idc_default,photo_wf3,17,0.0500596613,True,0,40000,0.058317,0.307371885,0.471980631,0.220646396,9.94890343e-07,
idc_default,photo_wf3,18,0.0557214618,True,0,40000,0.0553767,0.409047753,1.22092345e-07,0.590952218,4.24999769e-08,
idc_default,photo_wf3,19,0.0470051169,True,0,40000,0.0544742,0.0395190082,3.5591512e-08,3.01274241e-08,0.960480869,
idc_default,photo_wf3,20,0.0500588864,True,0,40000,0.0538511,0.307057202,0.472200066,0.220742539,1.38608286e-07,
