algorithm,problem,seed,best_f,feasible,max_violation,evals,walltime_s,notes,x_0,x_1,x_2,x_3
cmaes,photo_wf3,42,0.16383633864537972,False,0.0972639521654477,37,0.03816219999862369,no feasible point found across full history,0.018580426386514293,0.5455985104745951,0.1178419372190318,0.41524307808530647
cmaes,photo_wf3,43,0.1786600230052911,False,0.5486853408896413,37,0.03384250000817701,no feasible point found across full history,0.895783352694433,0.185339810884541,0.11295716091619717,0.35460501639446995
cmaes,photo_wf3,44,0.17103652959551452,False,0.10018706614876072,37,0.03554440000152681,no feasible point found across full history,0.017810713714007054,0.5092255035907078,0.5107141881580801,0.06243666068596557
cmaes,photo_wf3,45,0.16918021724281568,False,0.07225186040058262,37,0.0359768000053009,no feasible point found across full history,0.002959420604655002,0.17838267936189306,0.4622069206194118,0.28419911901345746
cmaes,photo_wf3,46,0.17251137272050315,False,0.2839495251139321,37,0.0287118999985978,no feasible point found across full history,0.448826866282465,0.3189259901165704,0.21148693998070212,0.30470972873419466
cmaes,photo_wf3,47,0.167731135006019,False,0.10883770291987682,37,0.029633099999045953,no feasible point found across full history,0.020042132150056645,0.10442042111762628,0.5245074237301026,0.45986772592209113
cmaes,photo_wf3,48,0.16492233305968446,False,0.013505067591291997,37,0.030511699995258823,no feasible point found across full history,0.00779311244243072,0.3410693701905503,0.32281682297221637,0.3148156268035108
cmaes,photo_wf3,49,0.18265189507640978,False,0.09235961764973188,37,0.019497200002660975,no feasible point found across full history,0.5846445983447947,0.04626756792004767,0.299663130829002,0.16178432055588754
cmaes,photo_wf3,50,0.16226993289968233,False,0.1275757813266668,37,0.023152900001150556,no feasible point found across full history,0.0609777648534789,0.20333474955526976,0.09392995166415193,0.5141817526004326
cmaes,photo_wf3,51,0.17297792432103865,False,0.13931180314724023,37,0.036242400004994124,no feasible point found across full history,0.103668322759607,0.2590681539331083,0.33347593932277064,0.1644757808372739
cmaes,photo_wf3,52,0.17082542613443558,False,0.011127215645521105,37,0.03633160000026692,no feasible point found across full history,0.07698560169385248,0.25182325273719397,0.46345224824630493,0.2188661129681698
cmaes,photo_wf3,53,0.17644245079431736,False,0.3949203216697432,37,0.03462240000953898,no feasible point found across full history,0.4770758456958084,0.23659413720984257,0.5396089967622765,0.14164134200181572
cmaes,photo_wf3,54,0.1821567264181936,False,0.3170944274251959,37,0.03534190000209492,no feasible point found across full history,0.34258133418008685,0.1897407829750991,0.14922532049800805,0.0013581349216100552
cmaes,photo_wf3,55,0.16653667207418688,False,0.21368831593932436,37,0.035237199990660883,no feasible point found across full history,0.21182672774105255,0.7424963221776463,0.0012225149918522282,0.25814275102877327
cmaes,photo_wf3,56,0.17216826099820992,False,0.03313508059248593,37,0.034480500005884096,no feasible point found across full history,8.257319275704737e-06,0.4652983821774833,0.39418150804756014,0.10737677186319483
cmaes,photo_wf3,57,0.17180615392836285,False,0.10369631547041003,37,0.03531259999726899,no feasible point found across full history,0.5107837276393756,0.007867316923218563,0.0223942651229353,0.5626510057848807
cmaes,photo_wf3,58,0.17332788842732835,False,0.5784648911413321,37,0.02114820000133477,no feasible point found across full history,0.020691741637850498,0.01769252823645178,0.2979045858125935,0.08524625317177215
cmaes,photo_wf3,59,0.17583658295542745,False,0.005263586951435695,37,0.029466199994203635,no feasible point found across full history,0.527802694217775,0.19035682919715144,0.060778786585911106,0.21579810304772667
cmaes,photo_wf3,60,0.1671253085821194,False,0.19989382764312258,37,0.030617600001278333,no feasible point found across full history,0.24291186614910798,0.1121548815327621,0.06170714328865139,0.383332281386356
cmaes,photo_wf3,61,0.16359679219229661,False,0.1381682762238845,37,0.03203380000195466,no feasible point found across full history,0.0018160618013591961,0.38164118943797143,0.08875771541871949,0.38961675711806537
cmaes,photo_wf3,62,0.17641282130647581,False,0.04062167902231728,37,0.022366599994711578,no feasible point found across full history,0.6012714906962453,0.10484510998989494,9.753290096629129e-06,0.2532519670014458
de,photo_wf3,42,0.1665258546734708,False,3.563963803410175e-06,40000,13.92649430000165,no feasible point found across full history,0.1972382365122364,0.31010117232320983,0.15466815453747385,0.33798887266327654
de,photo_wf3,43,0.17848446388307512,False,1.2227967876254908e-05,40000,16.836008400001447,no feasible point found across full history,0.43454915581673814,0.03796758551784018,0.3238031163585183,0.20369237027477974
de,photo_wf3,44,0.17999273444416322,True,7.713210885551547e-07,40000,17.071907400008058,,0.32549070775679045,0.3913190486208278,0.24128470584841605,0.04190630909505427
de,photo_wf3,45,0.17347952005830808,False,2.4210818734271555e-06,40000,16.242986400000518,no feasible point found across full history,0.282850087100446,0.5996716802231445,0.10671310220656957,0.01076270938796646
de,photo_wf3,46,0.1761537804979989,False,2.5651330923803783e-06,40000,13.864801899995655,no feasible point found across full history,0.22006859987376876,0.4798272396263151,0.23681612406349486,0.06329060156951363
de,photo_wf3,47,0.17120508641171578,False,3.4708985439113604e-06,40000,9.651150200006668,no feasible point found across full history,0.32351186657592607,0.38343852852289995,0.007654065397453988,0.2853990104022639
de,photo_wf3,48,0.16344554100974026,True,9.139112349121348e-07,40000,10.383390399991185,,0.00021574296371642957,0.07980736983677136,0.019488116009027723,0.9004896851017195
de,photo_wf3,49,0.16847807279673405,True,5.491933268153559e-07,40000,10.205134300005739,,0.04853086642182092,0.132293336421152,0.6879737731089808,0.13120257324137313
de,photo_wf3,50,0.17805062415284237,True,5.549707408070148e-07,40000,14.377390000008745,,0.6960082486989674,0.05057467636640915,0.0015217220403261206,0.2518947979235566
de,photo_wf3,51,0.17980505098921248,False,4.650314357812491e-06,40000,16.380312900000717,no feasible point found across full history,0.7159317001389571,0.03071879412736233,0.04107011824122481,0.212274737178098
de,photo_wf3,52,0.16728791305847443,False,1.7985529140451817e-06,40000,16.74995649998891,no feasible point found across full history,0.00022626965615610284,0.34686009031608633,0.6066088238866496,0.04630301758819387
de,photo_wf3,53,0.17749744073250104,True,8.594761029545595e-07,40000,16.82171279999602,,0.5541681829806037,0.4167589610366037,0.00013127720016150706,0.0289424382587342
de,photo_wf3,54,0.16773175929087522,False,2.920627112157348e-06,40000,15.471398900001077,no feasible point found across full history,0.1374816672893884,0.13273564489831813,0.723026422367856,0.006753344817325396
de,photo_wf3,55,0.16817909448399182,True,9.542047643140705e-07,40000,14.260362799992436,,0.15181643370620734,0.03174140318730762,0.8163025489773968,0.00013865992432381206
de,photo_wf3,56,0.16768587473582144,False,1.7780181855719945e-06,40000,10.451751499989768,no feasible point found across full history,0.21777192837528353,0.3289985610786379,0.14190586398988847,0.3113254245743757
de,photo_wf3,57,0.1675684810516048,True,7.597141835624655e-07,40000,9.69255069999781,,0.08958879595021232,0.1711123727925799,0.37671752524016294,0.3625820657312283
de,photo_wf3,58,0.1748951045604831,False,1.5816088060338629e-06,40000,9.60899999999674,no feasible point found across full history,0.4023626203245452,0.004394072950436507,0.2860679792992914,0.3071737458169209
de,photo_wf3,59,0.18080787376850463,True,8.385446719216816e-07,40000,9.00382409998565,,0.4841996809831832,0.06224830565145634,0.30351986789626606,0.1500313069244225
de,photo_wf3,60,0.16951211294327861,False,1.0840261561950726e-05,40000,8.493425799999386,no feasible point found across full history,0.24685578741165906,0.41259922180070163,0.041205867270888284,0.299349963778313
de,photo_wf3,61,0.17522131494218443,False,6.70406935698864e-06,40000,13.002390100009507,no feasible point found across full history,0.3857462901331882,0.07434543239886186,0.2710711523813536,0.26884382915595334
de,photo_wf3,62,0.17225068312848546,False,4.539298610772846e-06,40000,11.503020800009836,no feasible point found across full history,0.4351546505298567,0.19217946693453852,0.038229929478543034,0.33444049235567264
ga,photo_wf3,42,0.1888018169732443,True,1.1102230246251565e-16,40000,12.778407700010575,,0.6824955067558226,0.10057775976369604,0.2104038148751398,0.006522918605341506
ga,photo_wf3,43,0.1680322317800371,True,0.0,40000,14.070813300000736,,0.2266121725877075,0.269888586471192,0.19817341609125053,0.30532582484984994
ga,photo_wf3,44,0.16985084294057992,True,0.0,40000,13.38078520000272,,0.13689988122089727,0.6435241501507486,0.13449740358337245,0.08507856504498178
ga,photo_wf3,45,0.18133530132473719,True,0.0,40000,13.280164699986926,,0.7519517627412914,0.11428805823800933,0.00036218223312189804,0.13339799678757747
ga,photo_wf3,46,0.1674211974668658,True,0.0,40000,12.997744899999816,,0.26649736592491213,0.18596214763671842,0.19517617442007978,0.3523643120182897
ga,photo_wf3,47,0.18016439076041313,True,0.0,40000,13.761156099993968,,0.43469954980676534,0.18493359171590817,0.2381281748889008,0.1422386835884257
ga,photo_wf3,48,0.1802307184189544,True,1.1102230246251565e-16,40000,13.984881800002768,,0.2738163641076055,0.41535432302773256,0.30507361547099365,0.005755697393668258
ga,photo_wf3,49,0.16679564292180438,True,0.0,40000,11.84442689998832,,0.05020901879196196,0.09215988783803371,0.8166535794539801,0.0409775139160243
ga,photo_wf3,50,0.1770301838961734,True,0.0,40000,13.902217299997574,,0.21856104829783443,0.347706358575861,0.3883357527355955,0.04539684039070908
ga,photo_wf3,51,0.18311756970518128,True,0.0,40000,13.81073959999776,,0.6225348440048315,0.29087976108417407,0.08177500445126563,0.004810390459728824
ga,photo_wf3,52,0.17289559364642185,True,0.0,40000,10.982159500010312,,0.21505345827997274,0.09749877836784683,0.5233141437582919,0.16413361959388853
ga,photo_wf3,53,0.16812155336450754,True,1.1102230246251565e-16,40000,13.59378180000931,,0.010111689865305378,0.2830423326011645,0.5927478976232985,0.11409807991023149
ga,photo_wf3,54,0.18028832692781938,True,0.0,40000,13.925391199998558,,0.5513122432691421,0.37281919838438565,0.07109692309534209,0.004771635251130094
ga,photo_wf3,55,0.17300773208922815,True,0.0,40000,10.488673700005165,,0.26227042181868493,0.17325937324320131,0.520491097348797,0.043979107589316745
ga,photo_wf3,56,0.17148951077098065,True,0.0,40000,13.224949700001162,,0.16887172879503648,0.10712567161273225,0.417244544049549,0.3067580555426824
ga,photo_wf3,57,0.1808286498917266,True,2.220446049250313e-16,40000,12.907628100001602,,0.38546023361573317,0.227737912332942,0.31722548188068944,0.06957637217063523
ga,photo_wf3,58,0.18225547496071592,True,1.1102230246251565e-16,40000,14.185932199994568,,0.575254994302165,0.02238265840163124,0.36479620934380147,0.037566137952402295
ga,photo_wf3,59,0.1763942362501162,True,1.1102230246251565e-16,40000,9.348598600001424,,0.44540445959754627,0.15049271202304937,0.18384714035695846,0.2202556880224458
ga,photo_wf3,60,0.16541216307492296,True,0.0,40000,11.288459699993837,,0.18647125288749075,0.2639448299091459,0.10956335317472132,0.440020564028642
ga,photo_wf3,61,0.16021934116537398,True,0.0,40000,12.834851699997671,,0.07236710887311422,0.07157660901143637,0.2795959397209784,0.576460342394471
ga,photo_wf3,62,0.1695516479987271,True,0.0,40000,12.226509600004647,,0.1276919927701251,0.21127872537103864,0.595408298679475,0.06562098317936123
pso,photo_wf3,42,0.17463814397831912,True,3.457079111868211e-07,40000,12.950954800006002,,0.5452257462227569,0.1312631996851238,0.0031222026410579347,0.32038919715897257
pso,photo_wf3,43,0.1737099619815477,True,8.011338317182037e-07,40000,11.62261320000107,,0.22512743615902478,0.01994844793219555,0.4946727545247783,0.2602505602501696
pso,photo_wf3,44,0.16993121853567733,True,6.712686673182588e-07,40000,13.37081589999434,,0.26579741831763304,0.3783764151309757,0.02587233502310193,0.3299545027969567
pso,photo_wf3,45,0.1646146893936941,False,1.7079196354963244e-06,40000,11.7317933000013,no feasible point found across full history,0.007267016767353866,0.7426927764373004,0.059280948783676346,0.19076096593130504
pso,photo_wf3,46,0.17060309548479635,True,2.1010439565927186e-07,40000,12.549539100000402,,0.31845956342909626,0.32494229444104317,0.07176011294295011,0.284838239291306
pso,photo_wf3,47,0.17527493192731056,True,2.2433199409199744e-08,40000,13.507553100003861,,0.28812937607975003,0.23886237424351717,0.275537190486818,0.1974710367567154
pso,photo_wf3,48,0.17700521856874565,True,9.807180769705326e-07,40000,11.89135289999831,,0.2674932910616748,0.2702926822679353,0.39573372535822005,0.06647932059409295
pso,photo_wf3,49,0.1687486528509824,True,4.3993247222928744e-07,40000,12.175633999999263,,0.08905395243071776,0.22077134312259397,0.3779644652417373,0.3122106791374232
pso,photo_wf3,50,0.16157705195267164,False,2.1263739603538667e-06,40000,12.838672199999564,no feasible point found across full history,0.1634550396654648,0.12200543579767945,0.16183138491706053,0.5527060132458349
pso,photo_wf3,51,0.16476248095409007,True,5.49890549983445e-07,40000,10.19142569998803,,0.09806607883511038,0.27299108732490673,0.06912200641988561,0.5598213773106472
pso,photo_wf3,52,0.17204665866052604,True,5.781930640935684e-07,40000,13.799053800001275,,0.14126117344766642,0.05594116288059772,0.5680853538766073,0.23471288798819256
pso,photo_wf3,53,0.17458329680342857,True,7.923538097864835e-07,40000,12.172139499991317,,0.28408104610598073,0.10689584779456429,0.4732216271253164,0.13580068662032882
pso,photo_wf3,54,0.16807624538776547,True,7.283085946552248e-07,40000,10.957013299994287,,0.002975532257243215,0.23083506390364697,0.44931790097087876,0.3168707745596364
pso,photo_wf3,55,0.1745665116531963,True,1.7086962822432383e-07,40000,13.198778300007689,,0.30738556823944935,0.03972889257626836,0.5133404718945713,0.1395452381593392
pso,photo_wf3,56,0.17985022847377305,True,6.741006350896583e-07,40000,13.448660399997607,,0.3099515350107913,0.31895257704969737,0.351625212445097,0.019470001393779163
pso,photo_wf3,57,0.1658830347303275,True,5.213422713534754e-07,40000,8.807695000010426,,0.162961753029301,0.11926336336176831,0.030612847274563763,0.6871615149920957
pso,photo_wf3,58,0.16644609771242128,True,5.8015129078548e-07,40000,12.322426899991115,,0.17308778153955426,0.1333562753181514,0.2993702108854936,0.39418515210551003
pso,photo_wf3,59,0.1717243025781939,True,9.084584543517238e-07,40000,13.185707299999194,,0.2646613563390879,0.44074384248349546,0.12383264043283163,0.1707612522861307
pso,photo_wf3,60,0.17019269716945673,True,2.699271806072545e-08,40000,12.571469200003776,,0.23799064287631908,0.5100235371819852,0.07288727263555446,0.17909852031342305
pso,photo_wf3,61,0.17532293780496463,True,5.208178339710656e-07,40000,10.968598499996006,,0.3499698658256497,0.05287290426788563,0.331457578395056,0.26569913069357476
pso,photo_wf3,62,0.17271329850838993,True,4.7630377819629643e-07,40000,9.027903899986995,,0.4171376721106692,0.20331727417162815,0.11250700233958617,0.26703757507433823
