algorithm,problem,seed,best_f,feasible,max_violation,evals,walltime_s,x_0,x_1,x_2,x_3,notes
idc_default,photo_wf3,0,0.0464715362,True,0,40000,0.0691222,0.113616966,0.020281896,0.0597425699,0.806358516,
idc_default,photo_wf3,1,0.0464722812,True,0,40000,0.0536987,0.0832549185,0.0291869715,0.0544847399,0.833073318,
idc_default,photo_wf3,2,0.0464714617,True,0,40000,0.0725873,0.0914138258,0.0313548669,0.0791976899,0.798033595,
idc_default,photo_wf3,3,0.0464716405,True,0,40000,0.0442969,0.0567602515,0.0302454326,0.0898035392,0.823190808,
idc_default,photo_wf3,4,0.0464714617,True,0,40000,0.0589366,0.0817471445,0.0324875228,0.0961288363,0.789636493,
idc_default,photo_wf3,5,0.046471566,True,0,40000,0.0724931,0.0970311686,0.0236497056,0.111660853,0.767658234,
idc_default,photo_wf3,6,0.0589029789,True,0,40000,0.0698011,0.142093316,0.348658562,0.509246647,1.38403777e-06,
idc_default,photo_wf3,7,0.0589075387,True,0,40000,0.0915271,0.142058045,0.348622203,0.509307623,1.21055082e-05,
idc_default,photo_wf3,8,0.0464738905,True,0,40000,0.0530089,0.115165941,0.0215455722,0.090679042,0.772609413,
idc_default,photo_wf3,9,0.0464715362,True,0,40000,0.0797991,0.0831040516,0.0332142301,0.0798788965,0.803802848,
idc_default,photo_wf3,10,0.0589031279,True,0,40000,0.0753129,0.141627729,0.348519087,0.509853125,1.6681058e-07,
idc_default,photo_wf3,11,0.0464713126,True,0,40000,0.0679909,0.0961945355,0.0297406036,0.0915244967,0.782540381,
idc_default,photo_wf3,12,0.0464716405,True,0,40000,0.0595675,0.0752055347,0.0271290578,0.112071745,0.785593629,
idc_default,photo_wf3,13,0.0578129441,True,0,40000,0.0556288,0.087433815,0.013549488,0.8990165,1.69476976e-07,
idc_default,photo_wf3,14,0.0464715213,True,0,40000,0.0565251,0.111818805,0.0201333053,0.104606695,0.763441205,
idc_default,photo_wf3,15,0.0464763641,True,0,40000,0.0285755,0.103226036,0.0270969607,0.0757182762,0.793958724,
idc_default,photo_wf3,16,0.046471417,True,0,40000,0.0523168,0.118577808,0.0189822335,0.0660522506,0.796387732,
idc_default,photo_wf3,17,0.046472162,True,0,40000,0.0651002,0.110681109,0.0225481298,0.0983621627,0.768408597,
idc_default,photo_wf3,18,0.0589028001,True,0,40000,0.0639587,0.142021194,0.34845531,0.509522676,8.54993743e-07,
idc_default,photo_wf3,19,0.0464707464,True,0,40000,0.0646626,0.131545916,0.00788463838,0.0436813012,0.816888154,
idc_default,photo_wf3,20,0.0464714915,True,0,40000,0.0613922,0.0815881491,0.0293614045,0.106990322,0.782060087,
