measured,predicted
0.189174652,0.101200014
0.681274951,0.190536305
0.0221799165,0.215815336
0.180513591,0.107643731
0.201371863,0.115363061
0.186305434,0.124290593
0.202152357,0.134204507
0.214893773,0.144729391
0.164923996,0.155382335
0.204681531,0.16565676
0.234453693,0.17511493
0.211072862,0.183455497
0.109765336,0.0996211022
0.0905329809,0.0981356427
0.0714240596,0.0967407674
0.0673113391,0.095433265
0.0615726523,0.0942097083
0.0519145802,0.093066521
0.0455229171,0.0919999704
0.0257471539,0.0910062566
0.00444695586,0.0900816247
0.0517934635,0.215815306
0.100056209,0.215815187
0.117489457,0.215814367
0.131137148,0.215808749
0.134851024,0.215769917
0.169243917,0.215503052
0.166202351,0.213691875
0.184431046,0.202407807
0.197477952,0.157235891
0.531850576,0.181246713
0.527140617,0.169946998
0.582174182,0.157075271
0.597646415,0.143464386
0.464694411,0.130158946
0.436980158,0.118114017
0.255987018,0.107945405
0.222102597,0.0998546183
0.0495937392,0.0937152654
0.586830795,0.2099296
0.502601385,0.214606211
0.441349059,0.215573788
0.330387831,0.215767369
0.354903132,0.215805814
0.216416046,0.215813443
0.151506692,0.215814963
0.145020649,0.215815261
0.0860072896,0.215815336
0.0869329795,0.130738705
0.115618795,0.19127208
0.27521503,0.211950883
0.326024711,0.215288579
0.743070185,0.215745062
0.689382732,0.215805978
0.633211553,0.215814084
0.0257787481,0.215815157
0.0105342939,0.215815306
0.101963893,0.105713703
0.115779385,0.113077097
0.102299988,0.121682122
0.0923729166,0.131351858
0.0882388428,0.141751215
0.0842346773,0.152420118
0.119335003,0.162849009
0.123879701,0.172572494
0.0805376694,0.103883721
0.102254838,0.110889107
0.0745343566,0.119157881
0.0739437267,0.128557041
0.0655810013,0.138794422
0.0883247256,0.149438858
0.119969465,0.159985334
0.0754232779,0.10215266
0.0709811002,0.108800799
0.0656835735,0.116723031
0.0617265739,0.125828654
0.0639296547,0.13586992
0.116545871,0.146449804
0.0678835958,0.100518778
0.078908287,0.106812902
0.0597450957,0.114381701
0.0698972046,0.123174362
0.110226035,0.132988155
0.0697722211,0.0989798382
0.0633865967,0.104925409
0.0653959662,0.112137027
0.0952545479,0.120600909
0.0724118948,0.0975331664
0.0708912164,0.103137553
0.0860839859,0.10999117
0.0664765015,0.0961757451
0.10608121,0.101447947
0.0638643503,0.0949042812
0.0809064806,0.215815231
0.121145763,0.215814635
0.121559463,0.215810522
0.144566208,0.215782106
0.151321337,0.215586722
0.143101186,0.214255318
0.17749095,0.20574145
0.18967782,0.167394891
0.109130137,0.215814814
0.142771423,0.215811804
0.368146449,0.215791032
0.354628384,0.21564801
0.327280194,0.214670509
0.168417275,0.208296716
0.167858377,0.176673353
0.100755468,0.215812758
0.126071751,0.215797544
0.128540799,0.215692878
0.152030364,0.214975893
0.158939242,0.210232362
0.179298446,0.184797585
0.140372261,0.215802327
0.230800927,0.21572572
0.182442293,0.215200186
0.219203129,0.211685613
0.185681626,0.191652641
0.144657537,0.215749756
0.145483077,0.215364754
0.158346832,0.212769359
0.180920273,0.197258398
0.182817563,0.215485394
0.185141712,0.213573501
0.205970109,0.201726243
0.237598881,0.214167967
0.212211221,0.205214798
0.250403225,0.207895294
0.21851629,0.133579537
0.239941135,0.192983314
0.345865011,0.212265894
0.456697911,0.215332508
0.564118564,0.215750933
0.184851229,0.215806767
0.0602238439,0.215814188
0.0464715585,0.215815187
0.188072383,0.136470944
0.243427873,0.194597766
0.345906258,0.212555856
0.454378277,0.215372786
0.563346744,0.215756327
0.264662296,0.215807468
0.0765965432,0.215814292
0.230852112,0.139402986
0.224388212,0.196117789
0.334962159,0.212822676
0.346114069,0.215409711
0.0584442765,0.215761259
0.0582790114,0.215808153
0.279055536,0.142365128
0.246743232,0.197546124
0.324943393,0.213068083
0.112504534,0.215443566
0.0594156086,0.215765774
0.199084193,0.145346329
0.244192541,0.198885858
0.320617348,0.213293761
0.106388792,0.215474591
0.112910718,0.148335353
0.23814632,0.200140327
0.108000048,0.2135012
0.155762851,0.151320815
0.0749404132,0.201313093
0.164465189,0.154291362
0.486418039,0.20721741
0.374902338,0.203374162
0.523999691,0.198051006
0.447257042,0.190906301
0.40992552,0.181711107
0.309183002,0.170495927
0.20092392,0.157679796
0.121615194,0.144080311
0.30283314,0.214019492
0.557951987,0.21315363
0.320801914,0.211882487
0.439397544,0.210030451
0.343646616,0.207361758
0.266358912,0.203576893
0.188171417,0.198328257
0.249865681,0.215455338
0.331487596,0.215279028
0.384021938,0.215016857
0.364412338,0.214627668
